с+A1:B23татус комментариев,Комментарии,"СoolServis, автосервис"
1,"Моют машины все, кузов за 1.5 тыс тенге и это быстро около 10-12 минут и потом загоняют на подъемник. Прозрачная стена все видно все подъемники. Быстро нашли течь масла и устранили. Митсубиси Оутлендер, была течь в самом фильтре масленном. Благо и фильтр и масло на доливку все у них было. Все за 40 минут. У меня была защита её сняли и тоже помыли отдельно. Есть коврик для намаза",
1,"Заезжали делать замену шланга гура! Очень грамотные специалисты, сервис очень хороший, чисто аккуратно! Как пишут в комментариях + так и есть по факту! Спасибо большое работникам за помощь! Будем заезжать исключительно только сюда!",
1,Жақсы сапалы. Қызмет көрсеткен адамдарға рахмет. Алдын ала қоңырау шалып кезек алуға болады екен. Уақыт бәрінен де қымбат.😁✅,
1,Отличный сервис знают свое дело масла оригинальные сто чистый все запчасти есть обслуживание супер,
1,Отличный сервис! Все сделали быстро и качественно 👍,
1,Спасибо за заботу! Очень аккуратно и удобно!,
1,"Вежливое обслуживание, зона ожидания комфортное. Спасибо за качество Ваших услуг",
1,Отличное СТО. Всегда обслуживаюсь у них,
1,Хороший сервис. Механик Максим Садовников очень хорошо сделал.,
1,Поменял масло и делали диагностику все быстро и качественно. Советую всем. И менеджеры вежливые,
1,Крутое обслуживание,
1,"Отличный сервис, рекомендую…",
1,Очень был рад найти грамотное СТО с высококвалифицированными специалистами. Отдельное спасибо Асеме и Даурену за оперативное оказание услуг! Буду постоянно теперь у вас обслуживаться!,
1,"Если проблемы с машиной, всегда еду в Tez Auto. Оптимальные цены, решают вопрос качественно и быстро. Нравится, что есть запчасти в наличии, не нужно самому по городу искать",
1,Самый лучший и надёжный сервис в котором я бывал мастера на все руки администрация на вышем уровне и не надо ездить или ходить искать запчасти Ани сами находят и подгоняют вообщем словом заезжайте и не пожалеите,
1,"Отличное место для замены оригинальных масел. Всё нужное есть в наличии, в том числе фильтры и другие расходники. Очень удобно, что можно видеть, какие процедуры производятся с авто. Также хочу отметить вежливых и компетентных сотрудников и прекрасный уровень сервиса",
1,Отличное СТО моя машинка довольна,
1,Хорошее 100 отличное обслуживание,
1,"Чисто, Уютно, Все понравился",
1,Отличный сервис и обслуживание!,
1,Оте жаксы керемет барлыктарынызга кенес беремиз Жумыстарын мастерлер Оте Жаксы истейди Сто тап таза я шоке 😂!!!!,
1,Хорошие мастера и обслуживание через каспи Ред продолжайте так держать и народ потянется,
1,"Очень хорошее обслуживание, быстро и качественно 👍🏻 спасибо большое 🙌",
1,"Уже во второй раз обслуживаюсь в этом СТО. Летом приехала по поломке кондиционера, в ходе диагностики выяснилось, что у меня тормозные диски на износе. То есть, ребята меня тогда фактически спасли! Зимой тоже приехала на стандартное техобслуживание, получила профессиональный сервис с четким объяснением, фотографиями, абсолютным вниманием к моей машине. Знаю, что готова к зиме. И обязательно приеду повторно. Теперь доверяю свою машину только им!",
1,"Отличный автосервис! Позвонил записался на замену масла, по приезду проконсультировали грамотно! Специалисты работают оперативно",
1,Отличный сервис. Мастера знаю свое дело!,
1,был на обслуживании мне понравилось обращусь еще раз,
1,"Все очень достойно. И само здание и сервис. Это не гаражное СТО, это цивилизованный сервис европейского уровня",
1,Название соответсвует. Очень понравился. Быстро и качественно),
1,"Не в первый раз обращаюсь в данную компанию. Спасибо всем, очень ответственные сотрудники. Сервис на высшем уровне, тепло, чисто уютно.",
1,"Менял масло, фильтра, по советовали промыть дросленную заслонку!! Сервисом остался доволен, в сто чисто как в аптеке!!",
1,Оте керемет 👋👋,
1,Хорошей сервис,
1,Всё сделали быстро и акуратно,
1,"Наконец-то нашла очень отличный сервисный центр по замена масла, я сама год как перехала с другого города, и вот нашла очень суперский центр, во мне объяснили , очень грамотные специалисты, и самое главное они главные дистрибьюторы Mobil в астане .я ваш теперь постоянный клиент 👍👍👍",
1,Рахмет всем!!! Сервис на уровне,
1,"Отличный сервис ! Все быстро и качественно! Главное по записи , что очень удобно . И комфортно внутри в зале ожидания . Скорей всего вернусь ещё раз ",
1,Постоянный клиент этого СТО всегда доволен сервисом и качеством работы!,
1,"Хороший сервис,Спасибо менеджеру Максим.Все качественно и в срок",
1,Отличное обслуживание. Спасибо,
1,"Өте жақсы сервис. Сапалы, тез жұмыс. Тұрақты келуге кеңес беремін.",
1,"Очень нравятся места где царит чистота и порядок 👍 отличный персонал, вежливый Администратор.Все сделали быстро, качественно, ЧЁТКО ))",
1,Көліктің тормоз сұйықтығын ауыстыру үшін аталған мекемеге келдік. Қызмет сапасына көңіліміз толды. Телефон арқылы жазылып уақытылы қызмет қабылдадық. Клиенттерге арналған арнайы күту залы бар екен. Жалпы көлік жөндетем дейтін адамға бар мүмкіндік жасалған,
1,"Хороший сервис, вежливый персонал. Мастера своего дела. Все быстро и оперативно. Ребята молододцы знают свою работу, починили быстро. Девушка на ресепшене отдельное спасибо)))))",
1,"Честный отзыв! Случайно нашел данное СТО (привозили машину друга на ремонт) сам тут же поменял себе масло в ДВС! Никогда не видел такое чистое СТО, был приятно удивлен! Очень уютно, чисто, есть wi-fi и кофе автомат! Теперь только сюда! Отдельно спасибо мастеру приемщику Максиму!",
1,"Записался на сервис по телефону, администратор всё как положено записала. На завтра приезжаю в указанное время и мне говорят что все мастера заняты и нужно подождать часа 1,5-2! Развернулся и уехал! По сервису ничего сказать не могу.",
-1,"Здравствуйте, отличный сервис, отлично обслуживают, вежливые, цены приемлемые, рекомендую всем! Заезжайте! 👍👍",
1,"Не понравилось, что в предварительной переписке назвали одну цену, а когда приехал - другую цену, намного выше. Когда показал переписку, то сразу цену снизили. Возникает впечатление, что нет конкретного прайса и ставят цену по настроению",
1,Отличный новый сервис по обслуживанию автомобилей. Качество. Всё есть что надо для комфортного пользования автомашиной. Рекомендую.,
1,"Отличный сервис, все отзывчивые, на высшем уровне обслужили, мастера хорошие, следующий раз только к ним",
1,Отличный персонал,
1,"Всем советую,отличный сервис приемлемые цены!быстро качественно удобно!!!",
1,Жақсы керемет унады маған,
1,"21 ноября чистослучайно по дороге заехал на замену масла в двигатель при поступлений машины в сервис с перва ее помыли это круто сделали бесплатную диагностику мне очень понравилось , всем рекомендую сервис очень хороший благодарю менеджера Даурена мастера Максима и очень красивую и гостеприимную Асем !!!Удачи вам друзья успехов вам в работе и побольше хороших клиентов!",
1,"Рекомендую, хороший сервис",
1,Рахмет за работу,
1,"Рекомендую. Хорошее обслуживание, быстро выполнили все работы. Качественно. Само СТО очень чистое и уютное",
1,"Рахмет! ,Оте кушти! Барлыгы унады!",
1,"Отличный сервис, обслуживание на высшем уровне 👍🏻 бонус диагностика 📝 Рекомендую 🔝",
1,"Очень понравился сервис, быстро, качественно сделали ремонт, спасибо мастеру Данияру!",
1,"Добрый вечер, сегодня мама обращалась к вам на СТО. Мы довольны оказанными услугами и хотели бы поблагодарить персонал за проделанную работу!!! Оперативно, четко и своевременно!!! С благодарностью, Алтынай А.А",
1,Қызмет көрсету керемет жақсы.Рақмет сіздерге,
1,"Крутой сервис,рекомендую",
1,"Быстро, качественно!!! Планирую здесь обслуживаться, в общем советую!",
1,"Понравилось обслуживание и сервис. Персонал внимательный, вежливый , компетентный. Менял по ходовке детали. Предварительно моют машину (в непогоду, 1500 т.). Делают чек по машине (бесплатно). После чего сообщают о результатах проверки и в случае выявления предлагают параллельно сделать ремонт. Стеклянная перегородка между зоной ожидания и местом ремонта даёт возможность видеть ход работы. Рекомендую",
1,Сервис супер👍,
1,"Классный сервисный центр! Приехали на диагностику, устранили неполадки сразу на месте! Обслуживание на высшем уровне 👍🏻",
1,"Отличный сервис, хорошие сотрудники и все комфортно, чисто",
1,Жақсы қызмет сапалы май үшін рахметт!!! Сіздерде 2 рет ауыстырып жатырмын 1 інші май ауыстырудан ақ көлігімде артық дыбыстарданарылдым менде көлігімде риза Табысты болыңыздар әрдайым сіздерден қызмет аламыз алдағы уақытта Алла қаласа✊,
1,Отличный сервис. Уже не в первые меняем масло. Работают профессионалы своего дела. Рекомендую 👍,
1,"Я доволен сервисом, быстро и качественно сделана замена колодок!!! Ребята молодцы!",
1,Очень хороший сервис мастера знают своё дело всем рекомендую)),
1,"Мен тек осы жердің қызметіне жүгінемін, себебі қызметкерлерінің жұмысы көңілімнен шықты. Сіздердіңде келіп көргендеріңіздіқалар едім, Сіздерде риза баласыздар деп ойлаймын",
1,Спасибо ребятам быстро Помогли Найти проблемы машины И устранили Цены не дорогие,
1,Отличный сервис! Всё быстро и качественно !!!!,
1,"Записали по телефону, недолго ждал по приезду. Качественно сделали работу.",
1,"СТО под ключ, наконец-то у нас появились такие сервис, японский подход с немецким качеством",
1,"Уютно, тепло",
1,"Заправлял здесь автокондиционер, все отлично, хороший сервис !",
1,"Хорошее впечатление об этом сервисе начало складываться уже на этапе общения с менеджером Данияром. Я предоставил список работ и услуг, которые были необходимы моей машине, по мнению моего прошлого автосервиса. Данияр помог убрать много лишнего из того списка. Можно было заработать на моей простоте, но поступили честно. Я очень ценю честность. На машине стало ездить гораздо спокойнее. Теперь буду обслуживаться только здесь",
1,"Отличное качество работы, отзывчивый персонал",
1,"Мастера быстро провели компьютерную диагностику, сбросили ошибки. Профессионалы своего дела",
1,"Вежливый персонал, все доступно объясняют",
1,"Обходите стороной.только новое здание и все.сладкоречивый менеджер Даурен обманщик.диагностика ноль но 5 тыс.взяли.в итоге не заменили тормозную жидкость но деньги взяли.просил обслужить все суппорта сделали только задние,на претензии покажем камеры докажем и в итоге ничего только заблокировал телефон.на другом сто все сделали тут даже не пробовали разобраться машина простояла две недели.",
-1,"Ребята молодцы свое дело выполнили меняли расходные материалы, цены доступные все чисто и уютно персонал вежливый Рекомендую",
1,"Вежливый персонал, хорошие условия ожидания для клиентов, бысирое обслуживание, индивидуальный подход. Спасибо за обслуживание! Довольна сервисом!",
1,"Все быстро и качественно, рекомендую мастера Максима👍",
1,Великолепно! Рекомендую!,
1,"Labo грузовойға май ауыстыратын жалғыз осы жер. Жылдам әрі сапалы, ең бастысы оригинал май",
1,Ремонт ходовой считаю дороже на %40-30,
0,Спасибо за работу. Обслуживал тормозную систему,
1,спасибо за хорошее обслуживание и качественный ремонт! все понравилось очень уютно внутри,
1,Большое спасибо! Отлично сделали сход/развал. Отдельное спасибо мастеру-приемщику Николаю и Асем Все очень вежливо! Отличный сервис.,
1,Поменял масло двигателя очень качественный и быстрый,
1,"Понравилось, поменяли колодки оперативно, быстро и качественно!",
1,Барлыгы унады. Оттте керемет!,
1,Хорошее обслуживание. Всё понравилось,
1,"Быстро,качественно, удобно советую всем",
1,Бәрі керемет!,
1,Сервис на уровне! Все понравилось,
1,Барлыгы жоғары денгейде керемет ұнады👍👍👍,
1,"Барі жақсы, керемет",
1,"Очень хорошое обслуживание, дружный и приветливый персонал👍",
1,Жақсы жұмыс жасайды.Жақсы мамандар,
1,"Профессиональный сервис, всегда быстро и качественно обслуживают автомобиль.",
1," Очень доволен качеством работы мастеров, всегда можно рассчитывать на надежное решение проблемы.",
1,"Приятные цены и отличное обслуживание, рекомендую всем своим знакомым.",
1,"Быстро нашли и устранили неисправность, отличный сервис!",
1,"Профессиональный подход к работе, всегда остаюсь доволен результатом.",
1,"Обслуживаю свой автомобиль только здесь уже несколько лет, никаких нареканий.",
1,"Вежливый персонал, всегда готовый помочь и ответить на все вопросы.",
1,"Замечательный сервис, всегда чисто и аккуратно вокруг, а главное — качественно делают свою работу.",
1,"Спасибо за оперативное решение проблемы, езжу с уверенностью на дорогу.",
1,"Очень удобно расположен, всегда могу быстро заехать и получить качественное обслуживание.",
1,"Приятные цены на ремонтные работы, всегда остаюсь доволен итогом.",
1,"Мастера знают свое дело, всегда все делают быстро и качественно.",
1,"Надежный сервис, доверяю им свой автомобиль уже не первый год.",
1,"Всегда рады видеть клиентов, обслуживание на высшем уровне.",
1,"Очень дружелюбный персонал, всегда вежливое общение и профессиональный подход к работе.",
1,"Спасибо за отличное обслуживание, всегда остаюсь доволен результатом.",
1,"Рекомендую данный автосервис всем своим друзьям и знакомым, здесь всегда можно рассчитывать на качественное обслуживание.",
1,"Очень удобный сервис, всегда все делают быстро и качественно.",
1,"Профессиональные мастера, всегда находят быстрое и эффективное решение любой проблемы с автомобилем.",
1,"Спасибо за отличное обслуживание, буду обращаться сюда и дальше",
-1,"Цены за обслуживание высокие, не всегда оправдывают качество предоставляемых услуг.",
-1,"Неоднократно сталкивался с недобросовестным отношением к клиентам, не рекомендую.",
-1,"Механики не всегда знают, что делать, и приходится ждать долго.",
-1,"Плохо выполнили ремонт, пришлось потом идти в другой сервис исправлять ошибки.",
-1,"Очень дорого стоит ремонт, даже за простые работы цены высокие.",
-1,"Не всегда сразу находят проблему, приходится несколько раз возвращаться.",
-1,"Не доволен качеством предоставляемых услуг, не соответствует заявленному уровню.",
-1,Сервисные мастера не проявляют должной компетентности и внимательности к автомобилю.,
-1,"Не рекомендую обращаться сюда, лучше искать альтернативные варианты.",
-1,"Время выполнения работ часто не соответствует обещаниям, приходится ждать дольше.",
-1,"Плохо обученный персонал, не всегда знают, как правильно решить проблему с автомобилем.",
-1,"Отношение к клиентам не всегда дружелюбное, чувствуется недостаток внимания к потребностям клиента.",
-1,"Очень дорогое обслуживание, не всегда оправдывает свою стоимость.",
-1,"Не рекомендую обращаться сюда, лучше искать другие сервисы с более высоким качеством обслуживания.",
-1,"Часто возникают проблемы после ремонта, приходится идти исправлять ошибки.",
-1,"Не профессиональный подход к работе, часто возникают ошибки и недочеты.",
-1,"Не всегда удается найти необходимые запчасти, приходится ждать долго.",
-1,"Очень плохое качество обслуживания, не рекомендую обращаться сюда.",
-1,"Механики не всегда знают, как решить проблему, и приходится искать альтернативные варианты.",
-1,"Очень дорого стоит ремонт, не всегда оправдывает свою стоимость.",
-1,"Сервис не всегда отвечает на заявленный уровень качества, не рекомендую.",
-1,"Не профессиональный подход к работе, часто возникают проблемы после обслуживания.",
-1,"Много времени тратится на ожидание, не всегда работают оперативно.",
-1,"Не всегда удается решить проблему с первого раза, приходится возвращаться несколько раз.",
-1,"Не всегда соблюдаются сроки выполнения работ, приходится ждать дольше.",
-1,"Очень высокие цены на ремонтные работы, не всегда оправдывают свою стоимость.",
-1,"Сервисные мастера не всегда компетентны, приходится искать альтернативные варианты.",
-1,"Очень плохое качество работы, не рекомендую обращаться сюда.",
-1,"Очень плохое отношение к клиентам, не рекомендую данное автосервисное предприятие.",
1,"Все четко, оперативно, аккуратно. Сам живу у юго-востока и ни разу не пожалел, что поехал на коктал в этот сервис",servis kz 555
1,Очень хороший сервис тепло и чисто внутри,
-1,Не ходите туда…!!! Нету опыта вашше не умеют работать..Двигеталь не провильно собрали движку кпц.Самая плохая сто,
-1,Ужасный сервис,
-1,"Фирма однодневка. Приехал по гарантии, сказали СТО не работает, те кто работали до них уехали, куда ехали, что и как никто не знает. Разводят руками. Не рекомендую связываться, дороже обойдется, прикрывают друг друга. Держат клиентов за дураков.",
1,Рахмет парням. Устранили проблему нашли причину. Мастера своего дела.,
1,"Хорошее обслуживание,ребята знают свою работу ,вежливый персонал,чисто и приятно,качественные масла и продукция,мне все понравилось",
1,Рахмет жігітер! Қызмет көрсеткендері өте ұнады! Бәріне келуге кенес беремін!,
1,Ребята профи своего дела. Всегда в наличии все виды масел и жидкостей. Рахмет за совет по АККОРЕ.,
1,"отличное сто, обслужили достойно, остался рад!",
1,Сто классное советую Специалисты все своего дела Делают скидки,
1,Все четко делают,
1,"Очень четкий сервис, специалисты огонь, хозяин контуженный но мастер своего дела)))))))) советую всем посетить это сто, в другое вы больше не поедиие 🤣🤣🤣🤟",
1,Хороший сервис,
1,Профессиональный сервис 👍👍👍👍,
1,"Отличный сервис, всем советую 👍🏼👍🏼🙌🏼",
1,"Хороший персонал, отличное обслуживание. Все понравилось, Спасибо🙌🔥🔥",
1,"Хороши сервис, спасибо👍",
1,Отличное сто вежливый персонал всем советую,
1,👍🏼👍🏼🔥🔥 Обслуживание супер,
1,Знают свою работу постоянно масло меняю и ценый нормальные,
1,"Просто самая вышка,категорический рекомендую, более 3 лет обслуживание прохожу только тут, специалисты мастера своего дела, Макс ты лучший!",
-1,"В этом сто пока вам будут делать машину вы и посмеетесь, по плачете..... со смеху, и может поменяете…",
-1," Ужасный сто а именно мастер Абзал, он взял большую сумму денег, машина стояла 2 месяца в сто , забрали машину на эвакуаторе , деньги так и не вернул, на связь не выходит !!!! Кидает на бабки и сам ездит на крутой машине ! написали на него заявление в полицию",
1,Сервис 👍 Есть даже масло Аккора! Рекомендую,
1,"Добрый ,очень чисто,на масло сделали скидку,профессионально,спасибо.",
1,"Хороший сервиз обслуживание. Качественный масла, хорошая промывка печек. Всем советую",
1,"Хороший сервис, быстро качественно и доступно👍🏻 Советую!",
1,"Хороший сервис, мастера лучшего качества!!! Особенно благодарен хозяину СТО Данияр Шайкенову и Максат Нурмагамбетову!",
1,"Отличный сервис. Ребята молодцы все подсказали, быстро и по доступным ценам! Отдельное спасибо Максату!!! Удачи и процветания Вашей команде!!!",
1,"5 жыл осы СТО - га келип май ауыстырамыз. Тлендиевада болганда сонда бардык. Өте жақсы, арқашан таза, тез ауыстырып береді. Клиенттерің көп болсын!",
1,"Быстро, качественно,доступно!Уже 4 года обслуживаюсь у Максата, без нареканий👍",
1,"Масло меняю только здесь уже как 7 год, и аксессуары более качественные. Летние дворники и лампочки 7 год эксплуатируются как купил",
1,Качественно чисто,
1,"Недорого, качественно! Советую!",
1,"Всем советую ребята честные,всегда у них обслуживаюсь",
1,Здравствуйте. Максат и его команда очень окуратно и добросовестно делают свою работу. Мастера люкс класса.,
1,Дерзкий мощный сервис ✊✊✊,
1,Молодцы знают своё дела . Отдельный асалаумагалеукум Максату,
1,Профессиональный сервис! 👍👍👍,
1,"Хороший сервис, отличное обслуживание, приветливый персонал 🔥🔥🔥",
1,Хороший сервис всем советую! Макс лучший,
1,"Здравствуйте сервис 🔥 очень понравилось знают свою работу,особенно хочу отметить Максата выбрал масло какую надо советую всем этот сервис",
1,"Профессиональная команда, грамотная консультация, отлаженная работа. Благодарю 👍",
1,Очень хороший сервис всем рекомендую обратиться к ним и ваши проблемы решается работают профессионалы классный сервис мне понравилось!!!!,
1,Макс лучший,
1,Слаженный коллектив. Отличный сервис. Ребята умеют и знают свою работу. Рекомендую!,
1,"Очень хороший сервис, все быстро и качественно",
1,Лучше сервиса не видел,
1,Всем рекомендую 👍👍👍,
1,Отличный сервис быстро и самое главное качественно ребята молодцы 👍,
1,Слайд Отличный сервис ребята молодцы работаю быстро окуратно кароче молодцы советую там обслуживать свое авто,
1,"На протяжений долгого времени обслуживаю свои автомобили только у них, проводят качественный сервис, масла и фильтра всегда в наличии!",
1,Отличный сервис! Всем советую!,
1,Сервис что надо 💪,
1,"Это лучший сервис замены автомобильного масла. Обслуживаюсь только там. Цены приемлемые, работают настоящие профессионалы! Молодцы!",
1,"Был в этом сервисе , пацаны красавцы все масла заменили. Рахмет вам !!",
1,"Обслуживаюсь у данного сервиса около 5 лет, за все время ни каких проблем тока одни подарки и всякие плюшки скидки акции! Админ у них красавчик всегда верный совет дает !",
1,Работают профессионалы и не дорого👍👍,
1,"Отличный сервис, быстро и качественно, всем советую!",
1,Заменил Масло в Аккп Камри 40 42000тг хорошая цена. Попал на Акцию по Антифризу за 12000. Спасибо ребятам советую,
1,Ребята молодцы. Хороши чистый сервис! Сразу видно мастера своего дела! Рахмет,
1,"Отличны сервиз 👌 всем рекомендую. Меняем всегда там масла , ребята там Вообще молодцы знают свою работу 👌 и самое главное цены там не дорогие по сравнению с другими сервисами .",
1,"Хорошие цены на масла. Ребята молодцы, завели сервисную книжку. Спасибо за сервис!",
1,Очень понравилось обслуживание👍🏻 Всё на высшем уровне ✅,
1,Быстро качественно и не дорого. Спасибо большое,
1,Отличный сервис и хорошие цены,
1,"Высокий сервис, быстро, оперативно поменяли масла🔥",
1,"Добрый день, хочу отметить этот сервис 10/10, товар качественный, мастера знают свое дело… все чисто опрятно, вчера заезжал менять масло, не знал что залить в тойоту камри 70, Администратор по имени Максат все подсказал как надо, посоветовал отличное масло проверили на стенде.. масла отличные… в общем ребята советую всем этот сервис….",
1,Обслуживание на высшем уровне.... качественные масла и лучшие мастера по городу.... впечатляет....,
1,"Ребята опытные, шустрые! Всегда готовы помочь!",
1,"Отличное сто, ребята молодцы, чётко, быстро, без лишних слов. 👍👍👍",
1,Саламалекум Джиги сервис 🔥 ребята толковые свою работу знают скидки бешеные делают 👍,
1,Хорошое замена быстро качественно видно ребята давно занимаются мне всё понравилось,
1,Лучший пункт замены масла !!! Ребята настоящие профессионалы своего дела! Очень довольна обслуживанием. Качественно и оперативно. Всем советую!!!,
1,Сервис 🔥🔥🔥,
1,"Хороший сервис, большой ассортимент 👍",
1,"Топовый сервис в Астане, всем советую💪💪💪",
1,был в данном сервисе работают настоящие профессионалы Рахмет за отличную работу,
1,"Грамотные специалисты, оперативно обслужили!",
1,Сервис на высшем уровне,
1,Все мастера своего дела! Не первый и не последний раз у них обслуживаюсь! Рекомендую,
1,Отличный сервис! Ребята молодцы! Всё чисто и аккуратно! Большой рахмет Максату и Данияру за оперативность!,
1,"Хороший, чистый сервис, мастера на опыте",
1,"Очень доволен тем, что попал сюда по рекомендации знакомого, всем доволен, буду советовать другим",
1,Ребята молодцы,
1,"Отличный сервис, ребята квалифицированные! Все быстро заменили. Парни Макс и Даник отзывчивые порядочные без обмана помогли подобрать масло и бесплатно устранили протечку антифриза. Рекомендую!!!",
1,Ребята молодцы! Качественно!,
1,"Быстро, качественно, доступные цены, хороший коллектив. В своём деле работают профессионалы. Молодцы. Удачи вам и по больше клиентов. Всем советую всем.",
1,"Ребята молодцы, профессионалы своего дела, советую",
1,"Хороший чистый сервис, советую. Рядом просторная площадка, очередей нет",
1,Отличные мастера. Сервис на высшем уровне.,
1,Жигитер жаксы жумыс жасайды👍🏻,
1,Отличный сервис,
-1,"Принимают клиентов не в порядке очереди, дают некие привилегии для некоторых клиентов 👎 Остался неприятный осадок после посещения данного сервиса. Не рекомендую ‼️",
-1,"при покупке масла в нашем магазине обслуживаются без очереди, это было всегда так и не только у нас.",
1,"Большой комплекс, профессиональные мастера, цены приемлимые, вежливые!",
1,The best best,
1,"бслуживался в данном СТО. Нашел его по 2ГИС и не пожалел. Ребята Руслан и Талех смогли найти и устранить причину. Также у них в бутике сразу мне подобрали запчасти. Очень удобно, что я не искал по городу запчасти, так как времени совсем не было у меня разъезжать по городу. Благодарю вас за проделанную работу. Искренне желаю вам отзывчивых клиентов. Ребята молодцы 👍",VN service
-1,"Почему всегда, когда видят девушку за рулём, пытаются обмануть?",
-1,"Был в данном сто. Приехал, чтобы поменять прокладку, заменили, после них в машине гемароя больше стало. Неполадку так и не устранили. Но деньги взяли.",
1,Отличный автосервис! Быстро нашли и устранили проблему 👍🏻,
1,"Хорошие СТО, был проездом, заехал, нашли причину и устранили на месте, запчасти сразу у них! Рекомендую.",
1,Рахмет мастеру и владельцу. Помогли найти насос бачка омывателя и быстро сделали. Цена приемлемая👍,
1,"Большое спасибо хозяину и мастеру Руслану. Выявили причину, заменили рулевую тягу не отходя от кассы. Всё чётко и оперативно. Цена не космос.",
1,"Уже второй год обслуживаюсь, ребята молодцы, знают свою работу! Все четко!",
1,"Отличный сервис, спасибо большое за оперативную помощь. Вернусь снова обязательно.",
1,"Ребят, Рахмет! Все сделали быстро и четко, профессионалы! Будем знать и рекомендовать 👏💪",
1,"Очень хороший мастер Руслан, все делает грамотно, и в бутике у них все запчасти в наличии с доставкой. Молодцы ребята.",
1,"Позавчера был у них мастеру Руслан. Больше спасибо, четко устранил все неполадки, почистил форсунки и по ДВС устранил все недочёты, машина стала по-другому работать. Класс, так держать!!!",
1,Хорошая сервис рекомендую👍👍,
1,"удивили мастера , починили теслу , все грамотно и четко , рахмет",
1,"Рахмет за оперативность, рекомендую ✊",
1,Один из самых лучших СТО в Астане. Добросовестные мастера. Качественно работают 👍,
1,Отличный сервис👍🏻👍🏻👍🏻,
1,"Ребята, молодцы! Отремонтировали на качество, моя ласточка стала супер красоткой, рахмеееет❤️ Работают на совесть!",
1,Идеальный сервис!,
1,"Обслуживался в данном СТО. Нашел его по 2ГИС и не пожалел. Ребята Руслан и Талех смогли найти и устранить причину. Также у них в бутике сразу мне подобрали запчасти. Очень удобно что я не искал по городу запчасти, Так как времени совсем не было у меня разъезжать по городу. Благодарю вас за проделанную работу. Искренне желаю вам отзывчивых клиентов. Ребята молодцы 👍",
1,Все сделал правильно. Диагностика через лаунч и устранили причину поломки. Цены приемлемые для столицы еше тесла,
1,Отличный сервиз. Обслуживают быстро и качественно 👍👍👍,
1,👍👍👍 отлично,
1,"Все очень понравилось. Все сделали быстро и качественно. Теперь только к Вам, сервис и работа ⭐️⭐️⭐️⭐️⭐️. Рекомендую всем только Вас ☑️👍",
1,"Все супер,быстро,не дорого",
1,"Очень дорого постоянно меняется мастера,думаю хозяин не умеет своих мастеров на мазе держать,общем Порожняк",
1,👍👍👍👍 супер,
1,Бұл кісілер өз істерінің маманы 👍👍,
1,"Был в данном сервисе, шикарно все сделали быстро четко, отдельное спасибо Руслану. Ради моей машины он задержался и сделал все на лучшем уровне (машина у меня Лансер ) а самое главное не стал врать по ценам и сделал по факту на ура. Искал долго нормальный сервис и нашел его теперь буду приходить только к Руслану . Он реально знает свою работу",
1,"Сделали отлично, рекомендую 👍",
1,Отличный сервис.Сделали машину быстро всем советую,
1,"чинил тут ходовку , все классно сделали , рахмет мастерам",
-1,"Не понимаю, почему по 2ГИСу показывает 4.8 🌟. За ранее звонил, чтобы записаться, но сказали подъезжайте свободна. Подъехал, говорит через час только освободимся. Видимо рейтинг искусственно завышен.",
-1,Цена за работу высокие,
-1,Не советую,
1,"Обслуживание на высоте,очень грамотный специалист Валихан, не раз к нему обращались и в дальнейшем только к вам...рахмет",
1,Хорошее СТО. Мастер Руслан сделал мою ласточку👍советую тем кто ищет именно хороших мастеров,
1,Отличное СТО. Мастера знают свое дело. 👍,
1,"Реальные цены, профессиональный подход к работе без суеты, берут и делают. Рекомендую всем!",
1,"Отличный сервис, мастера знают своё дело, быстро и качественно устранили поломку👍",
1,"шел его по 2ГИС и не пожалел. Ребята Руслан и Талех смогли найти и устранить причину. Также у них в бутике сразу мне подобрали запчасти. Очень удобно, что я не искал по городу запчасти, так как времени совсем не было у меня разъезжать по городу. Благодарю вас за проделанную работу. Искренне желаю вам отзывчивых клиентов. Ребята молодцы 👍",
1,"Хорошие специалисты! Бекжигит сделал диагностику, дал результат, аккуратные, добросовестные. Советую.",car hospital kz
1,"Парни знают свое дело, квалифицированные!",
1,"Приехал на диагностику хундай сонат LF, машина не тянула. Мастера быстро нашли причину, дело было в катализаторе. Пришлось удалить. После этого все отлично работает!",
1,"Жигиттер советую, хорошие мастера, устранили причину сразу же без проблем, свою работу хорошо знают, рахмет мастеру Бек.",
1,Сапарғали красавчик.,
-1,"Отзывы накрученные. Заехал с мельчайшей проблемой. Мало того,что в клиентах не заинтересованы, ответ на вопрос когда могу заехать проигнорировали, так ещё цены на продукцию в их магазинчике завышены. Пока стоял, ожидал очереди, наблюдал как просто раскручивают людей на дорогостоящую замену запчастей. Один мастер через каждую минуту бегал спрашивал что нужно делать, второй спрашивал у третьего, третий спрашивал у ещё одного. Когда дошла уже моя очередь предложили уже свою отработанную схему, замену запчасти. Я отказался, так как необоснованно дорого, на что они потребовали 3000 тг. якобы за 'диагностику', хотя изначально как заехал сообщил что у меня проблема с редуктором и шлангами. Вывод: не ходите к ним. Шарлотаны и лентяи.",
1,"Келдым комп ашпасады барын степ берды, Сапаргали красавчик, енды осы жерге келетын боламын",
1,Осында газ кондыргам жигиттер маладес оз истеринин мамандары.,
1,"Келдым комп ашпасады барын степ берды, Сапаргали красавчик, енды осы жерге келетын боламын.",
